label,series,test,status,n_years,n_missing,gapped,trend,h,p,z,tau,s,var_s,slope,intercept,slope_index_based,var_inflation
aqua_day|buffer_ring,suhii,original,ok,24,0,False,no trend,False,0.18863315303694828,-1.31463335936877,-0.1956521739130435,-54.0,1625.3333333333333,-0.0390887117317073,83.58139727691365,-0.0390887117317073,1.0
aqua_day|buffer_ring,suhii,hamed_rao,ok,24,0,False,no trend,False,0.18863315303694828,-1.31463335936877,-0.1956521739130435,-54.0,1625.3333333333333,-0.0390887117317073,83.58139727691365,-0.0390887117317073,1.0
aqua_day|buffer_ring,urban_mean,original,ok,24,0,False,no trend,False,0.8621556082271453,0.17363082104870547,0.028985507246376812,8.0,1625.3333333333333,0.0063882119125790796,25.043431681996495,0.0063882119125790796,1.0
aqua_day|buffer_ring,urban_mean,hamed_rao,ok,24,0,False,no trend,False,0.8621556082271453,0.17363082104870547,0.028985507246376812,8.0,1625.3333333333333,0.0063882119125790796,25.043431681996495,0.0063882119125790796,1.0
aqua_day|buffer_ring,rural_mean,original,ok,24,0,False,increasing,True,0.034998629495426536,2.1083742555914236,0.3115942028985507,86.0,1625.3333333333333,0.05709954798221588,-81.97884287089109,0.05709954798221588,1.0
aqua_day|buffer_ring,rural_mean,hamed_rao,ok,24,0,False,increasing,True,0.034998629495426536,2.1083742555914236,0.3115942028985507,86.0,1625.3333333333333,0.05709954798221588,-81.97884287089109,0.05709954798221588,1.0
aqua_day|lcz_based,suhii,original,ok,24,0,False,increasing,True,0.0002191471228452091,3.6958560480367306,0.5434782608695652,150.0,1625.3333333333333,0.04800994377765139,-94.8543753112936,0.04800994377765139,1.0
aqua_day|lcz_based,suhii,hamed_rao,ok,24,0,False,increasing,True,0.0002191471228452091,3.6958560480367306,0.5434782608695652,150.0,1625.3333333333333,0.04800994377765139,-94.8543753112936,0.04800994377765139,1.0
aqua_day|lcz_based,urban_mean,original,ok,24,0,False,increasing,True,0.0002660979627469029,3.646247242022815,0.5362318840579711,148.0,1625.3333333333333,0.11038136268244032,-187.6206060584736,0.11038136268244032,1.0
aqua_day|lcz_based,urban_mean,hamed_rao,ok,24,0,False,increasing,True,0.0002660979627469029,3.646247242022815,0.5362318840579711,148.0,1625.3333333333333,0.11038136268244032,-187.6206060584736,0.11038136268244032,1.0
aqua_day|lcz_based,rural_mean,original,ok,24,0,False,increasing,True,0.034998629495426536,2.1083742555914236,0.3115942028985507,86.0,1625.3333333333333,0.04987021456282059,-67.48674970251818,0.04987021456282059,1.0
aqua_day|lcz_based,rural_mean,hamed_rao,ok,24,0,False,increasing,True,0.034998629495426536,2.1083742555914236,0.3115942028985507,86.0,1625.3333333333333,0.04987021456282059,-67.48674970251818,0.04987021456282059,1.0
aqua_night|buffer_ring,suhii,original,ok,24,0,False,no trend,False,0.35874300337869447,-0.9177629112574431,-0.13768115942028986,-38.0,1625.3333333333333,-0.01764082211500028,37.99600296846618,-0.01764082211500028,1.0
aqua_night|buffer_ring,suhii,hamed_rao,ok,24,0,False,no trend,False,0.35874300337869447,-0.9177629112574431,-0.13768115942028986,-38.0,1625.3333333333333,-0.01764082211500028,37.99600296846618,-0.01764082211500028,1.0
aqua_night|buffer_ring,urban_mean,original,ok,24,0,False,no trend,False,0.08698814891833662,1.7115038074800968,0.2536231884057971,70.0,1625.3333333333333,0.01626375711750431,-9.339987175137372,0.01626375711750431,1.0
aqua_night|buffer_ring,urban_mean,hamed_rao,ok,24,0,False,no trend,False,0.08698814891833662,1.7115038074800968,0.2536231884057971,70.0,1625.3333333333333,0.01626375711750431,-9.339987175137372,0.01626375711750431,1.0
aqua_night|buffer_ring,rural_mean,original,ok,24,0,False,no trend,False,0.09653382910802089,1.6618950014661809,0.2463768115942029,68.0,1625.3333333333333,0.03069722346770458,-40.86500455248051,0.03069722346770458,1.0
aqua_night|buffer_ring,rural_mean,hamed_rao,ok,24,0,False,no trend,False,0.09653382910802089,1.6618950014661809,0.2463768115942029,68.0,1625.3333333333333,0.03069722346770458,-40.86500455248051,0.03069722346770458,1.0
